id,index,commonNameZh,scientificName,icon_path,photo_url,photo_cache,icon_top_colors,photo_top_colors,color_distance,icon_complexity,photo_complexity,complexity_gap,risk_level
fish-071,071,康吉鰻,Neogobius melanostomus,assets/fish/icons/generated/071.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669962200/large.jpg,data\fish_audit4\photo_cache\fish-071.jpg,"#101030,#303030,#505050","#D0B0B0,#F0B0D0,#303010",0.8535,28.80,34.02,5.22,中風險
fish-072,072,獅子魚,Periophthalmus barbarus,assets/fish/icons/generated/072.png,https://inaturalist-open-data.s3.amazonaws.com/photos/659481669/large.jpg,data\fish_audit4\photo_cache\fish-072.jpg,"#F0F0F0,#D01010,#701010","#707070,#907070,#909070",0.9101,56.37,9.80,46.57,高風險
fish-073,073,石頭魚,Stephanolepis cirrhifer,assets/fish/icons/generated/073.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f0/Stephanolepis_cirrhifer.jpg/330px-Stephanolepis_cirrhifer.jpg,data\fish_audit4\photo_cache\fish-073.jpg,"#101010,#301010,#303010","#B0D030,#B0D050,#B0B030",0.9116,41.57,17.14,24.43,中風險
fish-074,074,蠍子魚,Apogon imberbis,assets/fish/icons/generated/074.png,https://static.inaturalist.org/photos/669643008/large.jpg,data\fish_audit4\photo_cache\fish-074.jpg,"#D01010,#301010,#701010","#101010,#303030,#505030",0.5819,42.40,39.45,2.95,低風險
fish-075,075,橙點石斑,Chaetodon marleyi,assets/fish/icons/generated/075.png,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e8/Chaetodon_marleyi.jpg/330px-Chaetodon_marleyi.jpg,data\fish_audit4\photo_cache\fish-075.jpg,"#F0F0F0,#501090,#301070","#101010,#503010,#303010",0.7717,47.84,29.83,18.01,中風險
fish-076,076,芝麻石斑,Chromis chromis,assets/fish/icons/generated/076.png,https://inaturalist-open-data.s3.amazonaws.com/photos/620319775/large.jpg,data\fish_audit4\photo_cache\fish-076.jpg,"#F0F0F0,#101010,#503010","#303030,#505050,#305050",0.9693,7.23,20.00,12.77,中風險
fish-077,077,花頭石斑,Sparisoma viride,assets/fish/icons/generated/077.png,https://upload.wikimedia.org/wikipedia/commons/thumb/f/f3/Stoplight-parrotfish.jpg/330px-Stoplight-parrotfish.jpg,data\fish_audit4\photo_cache\fish-077.jpg,"#F0F0F0,#503010,#101010","#70B090,#103030,#50B090",0.9556,21.81,30.44,8.63,中風險
fish-078,078,香港石斑,Balistoides viridescens,assets/fish/icons/generated/078.png,https://static.inaturalist.org/photos/669474093/large.jpg,data\fish_audit4\photo_cache\fish-078.jpg,"#703010,#301070,#501010","#505050,#305050,#507070",0.9398,34.69,8.76,25.93,高風險
fish-079,079,馬拉巴石斑,Ostracion cubicum,assets/fish/icons/generated/079.png,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Ostracion_cubicum_400115646.jpg/330px-Ostracion_cubicum_400115646.jpg,data\fish_audit4\photo_cache\fish-079.jpg,"#303010,#705030,#503010","#105050,#103030,#307070",0.8991,40.35,31.19,9.16,中風險
fish-080,080,黑線石斑,Remora remora,assets/fish/icons/generated/080.png,https://inaturalist-open-data.s3.amazonaws.com/photos/669401717/large.jpg,data\fish_audit4\photo_cache\fish-080.jpg,"#F0F0F0,#101010,#103050","#B0D0D0,#909090,#907070",0.9608,15.30,17.13,1.83,中風險
