id,name_zh,name_en,type,is_island,district,radius_meters,source,lat,lon,geo_method,geo_note
I023,洲仔,Chau Tsai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.353406249,114.350672579,map.gov.hk locationSearch + geodetic transform,
I024,扯里排,Che Lei Pai,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.463893277,114.290726456,map.gov.hk locationSearch + geodetic transform,
I025,赤洲,Chek Chau,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.500412797,114.358922082,map.gov.hk locationSearch + geodetic transform,
I026,赤鱲角,Chek Lap Kok,island,true,Islands – now assimilated with Lam Chau into the airport platform and connected to Lantau Island by two bridges,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.306651328,113.930385098,map.gov.hk locationSearch + geodetic transform,
I027,長洲,Cheung Chau,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.209123291,114.029478658,map.gov.hk locationSearch + geodetic transform,
I028,長石咀,Cheung Shek Tsui,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.554402221,114.294154807,map.gov.hk locationSearch + geodetic transform,
I029,長索,Cheung Sok,island,true,Tsuen Wan,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.334914555,114.023716789,map.gov.hk locationSearch + geodetic transform,
I030,長咀洲,Cheung Tsui Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.413028681,114.406107454,map.gov.hk locationSearch + geodetic transform,
I031,青洲,Ching Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.38956402,114.313427989,map.gov.hk locationSearch + geodetic transform,
I032,飯甑洲,Conic Island,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.363832778,114.391414798,map.gov.hk locationSearch + geodetic transform,
I033,德己利士礁,Douglas Rock,island,true,Islands,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.2911617,114.069023945,map.gov.hk locationSearch + geodetic transform,
I034,銀洲,Flat Island,island,true,Tai Po,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.478732729,114.3311711,map.gov.hk locationSearch + geodetic transform,
I035,火石洲,Fo Shek Chau,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.314648029,114.366007934,map.gov.hk locationSearch + geodetic transform,
I036,火燒排,Fo Siu Pai,island,true,Sai Kung,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.276095199,114.359212498,map.gov.hk locationSearch + geodetic transform,
I037,虎王洲,Fu Wong Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.519667879,114.286534238,map.gov.hk locationSearch + geodetic transform,
I038,墳洲,Fun Chau,island,true,North,250,Wikipedia raw: List_of_islands_and_peninsulas_of_Hong_Kong,22.532859054,114.275958693,map.gov.hk locationSearch + geodetic transform,
